,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Category,Desc
27,0316769487,The Catcher in the Rye,J.D. Salinger,1991,"Little, Brown",Fiction,"Anyone who has read J.D. Salinger's New Yorker stories, particularly A Perfect Day for Bananafish, Uncle Wiggily in Connecticut, The Laughing Man, and For Esme--With Love and Squalor, will not be surprised by the fact that his first novel is full of children. The hero-narrator of THE CATCHER IN THE RYE is an ancient child of sixteen, a native New Yorker named Holden Caulfield. Through circumstances that tend to preclude adult, secondhand description, he leaves his prep school in Pennsylvania and goes underground in New York City for three days. The boy himself is at once too simple and too complex for us to make any final comment about him or his story. Perhaps the safest thing we can say about Holden is that he was born in the world not just strongly attracted to beauty but, almost, hopelessly impaled on it. There are many voices in this novel: children's voices, adult voices, underground voices--but Holden's voice is the most eloquent of all. Transcending his own vernacular, yet remaining marvelously faithful to it, he issues a perfectly articulated cry of mixed pain and pleasure. However, like most lovers and clowns and poets of the higher orders, he keeps most of the pain to, and for, himself. The pleasure he gives away, or sets aside, with all his heart. It is there for the reader who can handle it to keep."
28,0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,Random House,History,"In charming, beautiful, and wealthy old-South Savannah, Georgia, the local bad boy is shot dead inside of the opulent mansion of a gay antiques dealer, and a gripping trial follows"
29,0671867156,Pretend You Don't See Her,Mary Higgins Clark,1998,Pocket,Fiction,"Placed in the federal witness protection program after seeing a murder, Manhattan real-estate agent Lacey Farrell nevertheless must solve the case before she becomes the next victim"
30,0446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,2000,Warner Books,,
31,0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book,Fiction,"Set in twelfth-century England, this epic of kings and peasants juxtaposes the building of a magnificent church with the violence and treachery that often characterized the Middle Ages. Reissue."
32,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,Fiction,"The idyllic world of the Greek island of Cephallonia is forever changed by the inexorable changes of World War II, as the inhabitants struggle to cope with the Axis invasion and occupation"
33,0786868716,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion,Fiction,"Plot Eddie is a wounded war veteran, an old man who has lived, in his mind, an uninspired life. His job is fixing rides at a seaside amusement park. On his 83rd birthday, a tragic accident kills him, as he tries to save a little girl from a falling cart. He awakes in the afterlife, where he learns that heaven is not a destination. It's a place where your life is explained to you by five people, some of whom you knew, others who may have been strangers. One by one, from childhood to soldier to old age, Eddie's five people revisit their connections to him on earth, illuminating the mysteries of his ""meaningless"" life, and revealing the haunting secret behind the eternal question: ""Why was I here"" Personal Details Collection Status In Collection Index 10 Read It Yes Links Amazon US Product Details LoC Classification PS3601.L335F59 2003 Dewey 813/.6"
34,0446608653,The Alibi,Sandra Brown,2000,Warner Books,Fiction,Assistant DA Hammond Cross has his sights set on the DA's office. Prosecuting a high-profile murder case practically ensures him the job. But a Saturday night encounter with a mysterious woman is the start of a living nightmare.
35,0446612545,The Beach House,James Patterson,2003,Warner Books,Fiction,"When Jack Mullen sets out to unravel the truth about his brother's drowning death, he confronts legal interference as he discovers that his brother had been making money catering to the sexual needs of East Hampton's wealthiest citizens."
36,0451208080,The Short Forever,Stuart Woods,2003,Signet Book,Fiction,"Arriving in London to find a young woman, who has been seen in the company of an unsavory gentleman, for a client, Stone Barrington stumbles upon a deadly rivalry between two spies and is implicated in a horrifying double murder."
37,0553584383,Dead Aim,IRIS JOHANSEN,2004,Bantam Books,,
38,0671027360,Angels & Demons,Dan Brown,2001,Pocket Star,Fiction,"An ancient secret brotherhood. A devastating new weapon of destruction. An unthinkable target. ANGELS&amp;DEMONS World-renowned Harvard symbologist Robert Langdon is summoned to a Swiss cryptic symbol seared into the chest of a murdered physicist. What he discovers is unimaginable: a deadly vendetta against the Catholic Church by a centuries-old underground organization -- the Illuminati. Desperate to save the Vatican from a powerful the Vatican from a powerful time bomb, Langdon joins forces in Rome with the beautiful and mysterious scientist Vittoria Vetra. Together they embark on a frantic hunt through sealed crypts, dangerous catacombs, deserted cathedrals, and the most secretive long-forgotten Illuminati lair. DEMONS."
39,0316735736,All He Ever Wanted: A Novel,Anita Shreve,2004,Back Bay Books,Fiction,"""A marriage is always two intersecting stories."" This realization comes perhaps too late to the husband of Etna Bliss-a man whose obsession with his young wife begins at the moment of their first meeting, as he helps Etna and her companions escape from a fire in a hotel restaurant, and culminates in a marriage doomed by secrets and betrayal. Written with the intelligence and grace that are the hallmarks of Anita Shreve's bestselling novels, this gripping tale of desire, jealousy, and loss is peopled by unforgettable characters as real as the emotions that bring them together."
40,0743439740,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,2002,Pocket,,
41,0380619458,The Mosquito Coast,Paul Theroux,1990,Harper Mass Market Paperbacks (Mm),Americans,An eccentric American inventor moves his family to the jungles of Central America in hopes of finding a better life
42,0671042858,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket,Fiction,"The acclaimed #1 New York Times and undisputed King of Horror Stephen King offers a frightening suspense novel about a young girl who becomes lost in the woods as night falls. On a six-mile hike on the Maine-New Hampshire branch of the Appalachian Trail, nine-year-old Trisha McFarland quickly tires of the constant bickering between her older brother, Pete, and her recently divorced mother. But when she wanders off by herself, and then tries to catch up by attempting a shortcut, she becomes lost in a wilderness maze full of peril and terror. As night falls, Trisha has only her ingenuity as a defense against the elements, and only her courage and faith to withstand her mounting fears. For solace she tunes her Walkman to broadcasts of Boston Red Sox baseball games and follows the gritty performances of her hero, relief pitcher Tom Gordon. And when her radio’s reception begins to fade, Trisha imagines that Tom Gordon is with her—protecting her from an all-too-real enemy who has left a trail of slaughtered animals and mangled trees in the dense, dark woods…"
43,0425184226,The Sum of All Fears,Tom Clancy,2002,Berkley Publishing Group,Fiction,"One terrible act plunges the world into an instant nuclear crisis, and with the American president accused of incompetence, Jack Ryan calls on FBI head Dan Murray to help him avert disaster."
44,0060929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998,Perennial,Fiction,"Tells the story of the Buendia family, set against the background of the evolution and eventual decadence of a small South American town"
45,0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial,Fiction,"Don't miss Little Altars Everywhere, the New York Times bestselling companion novel that introduces the Ya-Yas and is also a basis for the film."
46,0061099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1992,HarperTorch,Fiction,Jim Chee is torn between his role as the prosecution's star witness against the man charged with killing his best friend and his own investigation of the crime. Reprint
47,0671004573,Before I Say Good-Bye,Mary Higgins Clark,2001,Pocket,Fiction,"A young woman probing into the mysterious circumstances of her husband's death receives a message from a medium claiming to be his channel in Mary Higgins Clark's #1 bestselling thriller, Before I Say Goodbye. When Nell MacDermott learns that her husband, architect Adam Cauliff, and three of his business associates have died in an explosion of his new cabin cruiser, she is not only devastated but wracked with guilt. The last time she saw Adam, they had a bitter quarrel over her plan to run for the congressional seat long held by her grandfather; she had told him not to come home. As the investigation into the boat's explosion proceeds, Nell learns that it was not an accident but a bomb. Despite her skepticism, Nell is swayed by her great-aunt Gert, a believer in psychic powers, to see a medium claiming to be Adam's channel. While trying to unravel the threads of Adam's past and his violent end, Nell consults the medium, who transmits messages to her with instructions from Adam. The story reaches a powerful climax in Nell's final encounter with the medium, in which she learns the truth about the explosion -- truth she can't be allowed to live and tell."
48,038572179X,Atonement : A Novel,IAN MCEWAN,2003,Anchor,Fiction,"In 1935 England, thirteen-year-old Briony Tallis witnesses an event involving her sister Cecilia and her childhood friend Robbie Turner, and she becomes the victim of her own imagination, which leads her on a lifelong search for truth and absolution."
49,0451410319,Hush,Anne Frasier,2002,Onyx Books,,
50,0553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,2002,Bantam Books,Fiction,"As a series of grisly murders terrorizes the small, backwoods town of Silence, Nell Gallagher, a young woman with special psychic gifts, holds the power to unravel the mystery, uncover the dark secrets that could destroy the town, and find a killer before it is too late. Original."
51,0380778556,Rebecca,Daphne Du Maurier,1994,Avon,Fiction,"""Last Night I Dreamt I Went To Manderley Again."" So the second Mrs. Maxim de Winter remembered the chilling events that led her down the turning drive past ther beeches, white and naked, to the isolated gray stone manse on the windswept Cornish coast. With a husband she barely knew, the young bride arrived at this immense estate, only to be inexorably drawn into the life of the first Mrs. de Winter, the beautiful Rebecca, dead but never forgotten...her suite of rooms never touched, her clothes ready to be worn, her servant -- the sinister Mrs. Danvers -- still loyal. And as an eerie presentiment of evil tightened around her heart, the second Mrs. de Winter began her search for the real fate of Rebecca...for the secrets of Manderley."
52,0451525221,Scarlet Letter,Nathaniel Hawthorne,1993,Signet Book,,
53,0385336772,Diary of a Mad Mom-To-Be,Laura Wolf,2003,Delta,Fiction,"Even though she is out of work and her apartment is too small, newlywed Amy Thomas Stewart finds herself longing to have a baby."
54,044651747X,Puerto Vallarta Squeeze,Robert James Waller,1995,Warner Books,Fiction,"The author of the blockbuster The Bridges of Madison County blends passion and adventure in the story of an American novelist in Mexico and his young lover, who take a trip with a killer."
55,0385337639,Crow Lake (Today Show Book Club #7),Mary Lawson,2003,Delta,FICTION,"Kate Morrison, orphaned at the age of seven, grows up seeing her brilliant older brother Matt's failure to further his education as a tragedy, and feeling somewhat guilty about her own accomplishments, and it is not until years later that she finally sees the damage her faulty thinking has caused."
56,039575514X,My Antonia,Willa Cather,1995,Mariner Books,Fiction,"The reminiscences of a New York lawyer, Jim Burden, about his boyhood in Nebraska, particularly a young Bohemian girl named Antonia Shimerda, are set against the backdrop of the American assimilation of immigrants. Reader's Guide available. Reissue."
57,0451206673,Pen Pals,Olivia Goldsmith,2002,Signet Book,Fiction,"When Jennifer agrees to take the rap for her boss, who has been wreaking havoc on the SEC, she finds herself in Jennings Correctional Facility for Women where she encounters a fiesty group of smart, tough women who change her life."
58,0486284735,Pride and Prejudice (Dover Thrift Editions),Jane Austen,1995,Dover Publications,Fiction,"In early nineteenth-century England, a spirited young woman copes with the suit of a snobbish gentleman, as well as the romantic entanglements of her four sisters."
59,0553278223,The Martian Chronicles,RAY BRADBURY,1984,Spectra,Interplanetary voyages,
60,0060977493,The God of Small Things,Arundhati Roy,1998,Perennial,Fiction,"The story of the tragic decline of an Indian family whose members suffer the terrible consequences of forbidden love, The God of Small Things is set in the state of Kerala, on the southernmost tip of India. Armed only with the invincible innocence of children, the twins Rahel and Esthappen fashion a childhood for themselves in the shade of the wreck that is their family -- their lonely, lovely mother, Ammu (who loves by night the man her children love by day), their blind grandmother, Mammachi (who plays Handel on her violin), their beloved uncle Chacko (Rhodes scholar, pickle baron, radical Marxist, bottom-pincher), their enemy, Baby Kochamma (ex-nun and incumbent grandaunt), and the ghost of an imperial entomologist's moth (with unusually dense dorsal tufts). When their English cousin and her mother arrive on a Christmas visit, the twins learn that Things Can Change in a Day. That lives can twist into new, ugly shapes, even cease forever. The brilliantly plotted story uncoils with an agonizing sense of foreboding and inevitability. Yet nothing prepares you for what lies at the heart of it."
61,0316602906,The Big Bad Wolf: A Novel,James Patterson,2003,"Little, Brown",African American psychologists,"At the outset of his career with the FBI, Alex Cross is instructed to track down a band of kidnappers who are snatching people and possibly selling them into slavery, a case that is complicated by a terrible threat to Cross's own family."
62,0316693006,Four Blind Mice,James Patterson,2002,"Little, Brown",Fiction,"With his resignation from the Washington Police interrupted by a case involving a friend who has been framed for murder, Alex Cross and partner John Sampson journey deep across military lines to confront the most brutal killer of their careers. 1,500,000 first printing."
63,0345311396,Private Screening,Richard North Patterson,1994,Ballantine Books,Fiction,"In a sensational trial that is taken over by a mysterious terrorist, attorney Tony Lord defends a man accuses of assassinating presidential hopeful James Kilcannon. By the author of Degree of Guilt. Reissue."
64,0345378490,Congo,Michael Crichton,1995,Ballantine Books,Fiction,"Armed with the latest gifts of advanced technology, a California scientist, a ruthless corporation agent, and a mercenary hunter face the dangers of the Congo jungle in search of the diamonds of the lost city of Zinj"
65,0345404793,Protect and Defend,Richard North Patterson,2001,Ballantine Books,Fiction,"When the Chief Justice of the Supreme Court drops dead following the inauguration, President Kerry Kilcannon selects as a replacement Judge Caroline Masters, a woman who hides a secret that could affect her ruling on a controversial case."
66,0375400117,Memoirs of a Geisha,Arthur Golden,1997,Alfred A. Knopf,,
67,0375705856,Plainsong (Vintage Contemporaries),KENT HARUF,2000,Vintage,Fiction,"From the unsettled lives of a small-town teacher struggling to raise two boys alone in the face of their mother's retreat from life, a pregnant teenage girl with nowhere to go, and two elderly bachelor farmers emerges a new vision of life and family as their diverse destinies intertwine. 200,000 first printing."
68,0380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1992,Avon,Fiction,Chief Medical Examiner Kay Scarpetta investigates the murder of a reclusive author and discovers that being a coroner is much more than laboratory work as she becomes involved in a dangerous criminal investigation
69,0380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,Avon,Fiction,"Dr. Kay Scarpetta is up against a serial killer who targets young lovers. Four couples have disappeared, only to turn up dead months afterward...Now a fifth pair is missing, and the mother of the girl is a powerhouse recently named by the president to head his war on drugs."
70,0380807866,The Elusive Flame,Kathleen E. Woodiwiss,1999,Avon,Fiction,"A woman in desperate straits ... A fearless man ...A marriage of convenience on turbulent waters ... Cerynise Kendall has been left destitute and in dire need following the death of her doting patron and protectress. A brilliant young artist tossed from her home with only the clothes on her back, Cerynise must now turn to a childhood companion for assistance - the dashing sea captain Beauregard Birmingham and beg him to provide her with passage to the Carolinas. She seeks a new home and a new life across the waters, but all depends upon the kindness of a charming adventurer who was once the object of her youthful infatuation. Beneath Birmingham′s rugged exterior beats a heart as large and wild as the Atlantic, and Beau readily agrees to aid Cerynise - even offering her his name in marriage, albeit temporarily, to protect his long time friend from scandal. But perilous secrets, determined enemies and tempests of the sea and soul threaten their future and safe passage even as bonds of camaraderie are miraculously reforged as bonds of desire ... and affection becomes passion and love."
71,0385497466,The Brethren,JOHN GRISHAM,2000,Doubleday,Fiction,"In a maximum security federal prison, three former judges who call themselves ""the brethren"" meet daily in the law library to run a rougher form of justice inside their new community, and make a little money, but when one of their scams derails, they are forced to confront the world of their own creation."
72,0385508042,The King of Torts,John Grisham,2003,Doubleday Books,Fiction,"The author of such best-selling legal thrillers as The Summons and The Brethren presents his latest novel of courtroom and legal suspense. 2,500,000 first printing. $2,500,000 ad/promo."
73,0385509456,The Curious Incident of the Dog in the Night-Time : A Novel,MARK HADDON,2003,Doubleday,Fiction,"Despite his overwhelming fear of interacting with people, Christopher, a mathematically-gifted, autistic fifteen-year-old boy, decides to investigate the murder of a neighbor's dog and uncovers secret information about his mother."
74,0385511612,Bleachers,John Grisham,2003,Doubleday,Fiction,"Presents a novel about high school football in a small Texas town, a place in which football has become a religion."
75,0385730586,Sisterhood of the Traveling Pants,ANN BRASHARES,2003,Delacorte Books for Young Readers,Juvenile Fiction,"During their first summer apart, four teenage girls, best friends since earliest childhood, stay in touch through a shared pair of secondhand jeans that magically adapts to each of their figures and affects their attitudes to their different summer experiences."
76,0446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision,,
77,0446610399,The Rescue,Nicholas Sparks,2001,Warner Books,,
78,0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books,Fiction,"When college student Jeff Converse is wrongly accused of a violent crime, he becomes trapped in the dark and evil underworld of Manhattan where the homeless, the desperate, and the insane have created their own society and where deranged predators hunt for prey in a deadly game. Reprint."
79,0449911004,Patty Jane's House of Curl (Ballantine Reader's Circle),LORNA LANDVIK,1996,Ballantine Books,Fiction,"Centering around a Minneapolis beauty parlor that also functions as a women's support group, this novel explores the loves, losses, hopes, and victories experienced by Patty Jane and Harriet, two eccentric sisters"
80,0451186648,Silent Snow,Steve Thayer,2000,Signet Book,Fiction,Twin Cities investigative reporter Rick Beanblossom's family becomes the target of a terrifying copycat crime on the anniversary of the 1932 Lindberg kidnapping. Reprint.
81,0452282152,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books,Fiction,"A poor seventeenth-century servant girl knows her place in the household of the painter Johannes Vermeer, but when he begins to paint her, nasty whispers and rumors circulate throughout the town. Reprint."
82,051513290X,Summer of Storms,Judith Kelman,2002,Jove Books,Fiction,"Thirty years after the murder of her sister, photojournalist Anna Jamieson returns to New York City, the scene of the unsolved crime, and finds herself on a collision course with her terrifying memories and with a fiendishly clever killer."
83,0553580388,The Patient,Michael Palmer,2001,Bantam Books,Fiction,"Blackmailed by a master assassin to agree to perform life-saving surgery on the killer, famous neurosurgeon Jesse Copeland struggles with the choice between saving a terrorist's life or the lives of those he threatens. Reprint."
84,0671023616,Postmortem (Kay Scarpetta Mysteries (Paperback)),Patricia Cornwell,1998,Pocket,,
85,0671027387,Deception Point,Dan Brown,2002,Pocket,,
86,0684848783,Tis : A Memoir,Frank McCourt,1999,Scribner,Biography &amp; Autobiography,"The #1 New York Times bestselling sequel to the beloved Pulitzer Prize-winning classic memoir, Angela’s Ashes, about McCourt’s coming of age as an immigrant in America. Frank McCourt's glorious childhood memoir, Angela's Ashes, has been loved and celebrated by readers everywhere for its spirit, its wit and its profound humanity. A tale of redemption, in which storytelling itself is the source of salvation, it won the National Book Critics Circle Award, the Los Angeles Times Book Award and the Pulitzer Prize. Rarely has a book so swiftly found its place on the literary landscape. And now we have 'Tis, the story of Frank's American journey from impoverished immigrant to brilliant teacher and raconteur. Frank lands in New York at age nineteen, in the company of a priest he meets on the boat. He gets a job at the Biltmore Hotel, where he immediately encounters the vivid hierarchies of this ""classless country,"" and then is drafted into the army and is sent to Germany to train dogs and type reports. It is Frank's incomparable voice -- his uncanny humor and his astonishing ear for dialogue -- that renders these experiences spellbinding. When Frank returns to America in 1953, he works on the docks, always resisting what everyone tells him, that men and women who have dreamed and toiled for years to get to America should ""stick to their own kind"" once they arrive. Somehow, Frank knows that he should be getting an education, and though he left school at fourteen, he talks his way into New York University. There, he falls in love with the quintessential Yankee, long-legged and blonde, and tries to live his dream. But it is not until he starts to teach -- and to write -- that Frank finds his place in the world. The same vulnerable but invincible spirit that captured the hearts of readers in Angela's Ashes comes of age. As Malcolm Jones said in his Newsweek review of Angela's Ashes, ""It is only the best storyteller who can so beguile his readers that he leaves them wanting more when he is done...and McCourt proves himself one of the very best."" Frank McCourt's 'Tis is one of the most eagerly awaited books of our time, and it is a masterpiece."
87,0786863986,A Monk Swimming,Malachy McCourt,1998,Hyperion,Biography &amp; Autobiography,"Slapped with a libel suit after an appearance on a talk show, Malachy McCourt crows, ""If they could only see me now in the slums of Limerick, a big shot, sued for a million. Bejesus, isn't America a great and wonderful country?"" His older brother Frank's Pulitzer Prize-winning memoir, Angela's Ashes, took its somber tone from the bleak atmosphere of those slums, while Malachy's boisterous recollections are fueled by his zestful appreciation for the opportunities and oddities of his native land. He and Frank were born in Brooklyn, moved with their parents to Ireland as children, then returned to the States as adults. This book covers the decade 1952-63, when Malachy roistered across the U.S., Europe, and Asia, but spent most of his time in New York City. There his ready wit and quick tongue won him an acting job with the Irish Players, a semiregular stint on The Tonight Show hosted by Jack Paar, and friendships with some well-heeled, well-born types who shared his fondness for saloon life and bankrolled him in an East Side saloon that may have been the first singles bar. He chronicles those events--and many others--with back-slapping bonhomie. Although McCourt acknowledges the personal demons that pursued him from his poverty-stricken childhood and destroyed his first marriage, this is on the whole an exuberant autobiography that pays tribute to the joys of a freewheeling life."
88,140003180X,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),ALEXANDER MCCALL SMITH,2004,Anchor,,
89,155874262X,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1993,Health Communications,Self-Help,"Features inspirational stories offering words of wisdom, hope, and empowerment"
90,0060987103,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996,Regan Books,Fiction,"When Dorothy triumphed over the Wicked Witch of the West in L. Frank Baum's classic tale, we heard only her side of the story. But what about her arch-nemesis, the mysterious witch? Where did she come from? How did she become so wicked? And what is the true nature of evil? Gregory Maguire creates a fantasy world so rich and vivid that we will never look at Oz the same way again. Wicked is about a land where animals talk and strive to be treated like first-class citizens, Munchkinlanders seek the comfort of middle-class stability and the Tin Man becomes a victim of domestic violence. And then there is the little green-skinned girl named Elphaba, who will grow up to be the infamous Wicked Witch of the West, a smart, prickly and misunderstood creature who challenges all our preconceived notions about the nature of good and evil."
91,0525947647,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,2003,Dutton Books,Humor,"Offers a whimsical critique of the Right, exposing their deceptive practices, challenging conceptions about the media's liberal bias, and identifying inconsistencies in the Bush administration."
92,0804111359,Secret History,DONNA TARTT,1993,Ballantine Books,Fiction,"Richard Papen, a relatively impoverished student at a New England college, falls in with an exclusive clique of rich, worldly Greek scholars and soon learns the dreadful secret that keeps them together. Reissue."
93,1558744150,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,Health Communications,Self-Help,"Contributions by such authors as Robert Fulghum, Kathy Lee Gifford, and Ann Landers, offers women inspiration on such subjects as love, motherhood, and aging"
94,0316782505,The Weight of Water,Anita Shreve,2001,"Little, Brown",Fiction,"While investigating a century-old crime of passion on an island off New Hampshire, Jean becomes fixated on the case and begins to project this knowledge on her own marriage, believing that her husband is unfaithful, causing unrealized and dangerous emotions to surface. Reprint."
