,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
964,0446604763,Mayday,Thomas Block,1998,Warner Books
965,0140296409,Disgrace,J. M. Coetzee,2000,Penguin Books
966,0670891576,In the Heart of the Sea: The Tragedy of the Whaleship Essex,Nathaniel Philbrick,2000,Penguin Putnam
967,0375401598,Pandora : New Tales of the Vampires,ANNE RICE,1998,Knopf
968,0061000043,A Thief of Time (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1990,HarperTorch
969,2070388905,Comme un roman,Daniel Pennac,1995,Gallimard
970,0553289411,The Plains of Passage (Earth's Children (Paperback)),JEAN M. AUEL,1991,Bantam
971,044661064X,The First Counsel,Brad Meltzer,2001,Warner Vision
972,1551666839,Dead Run,Erica Spindler,2003,Mira
973,0765342987,Kushiel's Dart,Jacqueline Carey,2002,Tor Books
974,0451456718,Daughter of the Blood (Black Jewels Trilogy),Anne Bishop,1998,Roc
975,0571154913,Remains of the Day,Kazuo Ishiguro,1994,Faber Faber Inc
976,0446530522,Cane River,Lalita Tademy,2001,Warner Books
977,002026478X,AGE OF INNOCENCE (MOVIE TIE-IN),Edith Wharton,1993,Scribner
978,0345447840,The Surgeon,TESS GERRITSEN,2002,Ballantine Books
979,0312977360,The Church of Dead Girls,Stephen Dobyns,2001,St. Martin's Paperbacks
980,0553569791,The Last Innocent Man,PHILLIP M. MARGOLIN,1995,Bantam
981,044661193X,Basket Case,Carl Hiaasen,2003,Warner Books
982,0440419468,Holes,LOUIS SACHAR,2003,Yearling
983,0446359866,Presumed Innocent,Scott Turow,1989,Warner Books
984,0446602612,The Poet,Michael Connelly,1997,Warner Books
985,0446612790,2nd Chance,James Patterson,2003,Warner Vision
986,0446606383,The Midnight Club,James Patterson,1999,Warner Vision
987,0553213148,Anne of Avonlea (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1984,Bantam Classics
988,0380725584,The Indian in the Cupboard (rack) (Indian in the Cupboard),Lynne Reid Banks,1995,HarperTrophy
989,0394571029,All I Really Need to Know I Learned in Kindergarten: Uncommon Thoughts on Common Things,Robert Fulghum,1988,Villard Books
990,0446365505,Pleading Guilty,Scott Turow,1994,Warner Books
991,002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley & Sons Inc
992,0804111898,Uh-Oh: Some Observations from Both Sides of the Refrigerator Door,Robert Fulghum,1993,Ivy Books
993,0451203895,4 Blondes,Candace Bushnell,2002,Signet Book
994,0553272535,Night,Elie Wiesel,1982,Bantam Books
995,0425181464,Seduction in Death,J. D. Robb,2001,Berkley Publishing Group
996,067150987X,Winter's Tale,Mark Helprin,1984,Pocket
997,0345347951,Childhood's End,Arthur C. Clarke,1987,Del Rey Books
998,039480001X,The Cat in the Hat,Dr. Seuss,1957,Random House Books for Young Readers
999,1857022424,Shipping News,E Annie Proulx,1994,Fourth Estate
1000,068484477X,STONES FROM THE RIVER,Ursula Hegi,1997,Touchstone
1001,0393317552,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,1999,W. W. Norton & Company
1002,0684853515,Hearts In Atlantis : New Fiction,Stephen King,1999,Scribner
1003,0452283205,Falling Angels,Tracy Chevalier,2002,Plume Books
1004,0316779237,Holidays on Ice : Stories,David Sedaris,1998,Back Bay Books
1005,0385421982,The Pelican Brief,JOHN GRISHAM,1992,Doubleday
1006,0875421180,Wicca: A Guide for the Solitary Practitioner,Scott Cunningham,1988,Llewellyn Publications
1007,038072975X,Midnight Champagne : A Novel (Mysteries & Horror),A. Manette Ansay,2000,Perennial
1008,014006690X,The Women of Brewster Place (Penguin Contemporary American Fiction Series),Gloria Naylor,1983,Penguin Books
1009,0451185560,Fear of Flying,Erica Jong,1996,Signet Book
1010,0553250531,The Valley of Horses,JEAN M. AUEL,1984,Bantam
1011,0553148001,The Clan of the Cave Bear : a novel,Jean M. Auel,1981,Bantam Books
1012,0440213525,The Client,John Grisham,1994,Dell Publishing Company
1013,0451188462,Desperation,Stephen King,1997,Signet Book
1014,0671028367,Deadly Decisions,Kathy Reichs,2001,Pocket Books
1015,0440111811,Changes,Danielle Steel,1984,Dell
1016,0064400557,Charlotte's Web (Trophy Newbery),E. B. White,1974,HarperTrophy
1017,0553297988,"Jedi Search (Star Wars: The Jedi Academy Trilogy, Vol. 1)",Kevin J. Anderson,1994,Bantam
1018,0884046818,Battlefield Earth: A Saga of the Year 3000,L. Ron Hubbard,1991,Bridge Publications
1019,0671867172,The Lottery Winner : Alvirah And Willy Stories,Mary Higgins Clark,1995,Pocket
1020,0061030635,Wild Justice,Phillip Margolin,2001,HarperTorch
1021,0449006530,Midnight Voices,JOHN SAUL,2003,Ballantine Books
1022,006109157X,Dead Eyes,Stuart Woods,1994,HarperTorch
1023,0440221315,The Gift,DANIELLE STEEL,1996,Dell
1024,0553576011,Send No Flowers,SANDRA BROWN,2000,Bantam
1025,0312272057,Dry: A Memoir,Augusten Burroughs,2003,St. Martin's Press
1026,042518336X,American Fuji,Sara Backer,2002,Berkley Publishing Group
1027,0836218353,Yukon Ho!,Bill Watterson,1989,Andrews McMeel Publishing
1028,0836204387,The Calvin and Hobbes Tenth Anniversary Book,Bill Watterson,1995,Andrews McMeel Publishing
1029,0345441435,Prospero's Children,Jan Siegel,2001,Del Rey Books
1030,0064407055,Ella Enchanted (Trophy Newbery),Gail Carson Levine,1998,HarperTrophy
1031,0553262505,"A Wizard of Earthsea (Earthsea Trilogy, Book 1)",URSULA K. LE GUIN,1984,Bantam
1032,0689710887,Greenwitch,Susan Cooper,1986,Simon Pulse
1033,0689710879,The Dark Is Rising,Susan Cooper,1986,Simon Pulse
1034,0020427859,"Over Sea, Under Stone",Susan Cooper,1989,Simon Pulse
1035,0441068804,The Blue Sword,Robin McKinley,1991,Ace Books
1036,0316096199,Lucky : A Memoir,Alice Sebold,2002,Back Bay Books
1037,1551669307,A Gift To Last,Debbie Macomber,2002,Mira
1038,0060532149,Bare Necessity,Carole Matthews,2003,Avon Trade
1039,081296683X,Girls' Poker Night: A Novel,Jill Davis,2003,Random House Trade
1040,0375713751,I Don't Know How She Does It,ALLISON PEARSON,2003,Knopf
1041,0440224845,Bittersweet,DANIELLE STEEL,2000,Dell
1042,0671864173,WAITING TO EXHALE,Terry McMillan,1993,Pocket
1043,0373079613,"Enchanted: The Donovan Legacy (Intimate Moments, #961)",Nora Roberts,1999,Silhouette
1044,0440200989,Weep No More My Lady,Mary Higgins Clark,1993,Dell
1045,0671568175,Let Me Call You Sweetheart,Mary Higgins Clark,1996,Pocket
1046,0449221504,K Is for Killer (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1999,Fawcett Books
1047,0446607193,Unspeakable,Sandra Brown,1999,Warner Books
1048,0671705091,A Knight in Shining Armor,Jude Deveraux,1990,Pocket
1049,0373484003,Irish Hearts,Nora Roberts,2000,Silhouette
1050,0440223237,Malice,DANIELLE STEEL,1997,Dell
1051,1558747109,"Chicken Soup for the Cat and Dog Lover's Soul - Celebrating Pets as Family with Stories About Cats, Dogs and Other Critters",Jack Canfield,1999,Health Communications
1052,0786884142,A Monk Swimming : A Memoir,Malachy McCourt,1999,Hyperion
1053,0767905385,Catch Me If You Can: The True Story of a Real Fake,Stan Redding,2000,Broadway
1054,0671793551,"A Fever in the Heart : Ann Rule's Crime Files, Volume III",Ann Rule,1996,Pocket
1055,0440211263,Circle of Friends,Maeve Binchy,1991,Dell
1056,0553260111,The Bourne Identity,Robert Ludlum,1984,Bantam Books
1057,0380775840,Amber Beach (Donovan),Elizabeth Lowell,1998,Avon
1058,0743411439,Bitterroot,James Lee Burke,2002,Pocket
1059,0767900383,Under the Tuscan Sun,Frances Mayes,1997,Broadway
1060,0380804697,Paradise Lost,J.A. Jance,2002,Avon
1061,0425178951,Deep South,Nevada Barr,2001,Berkley Publishing Group
1062,0684865742,Tis: A Memoir,Frank McCourt,2000,Scribner
1063,0380772469,Forever in Your Embrace,Kathleen E. Woodiwiss,1993,Avon Books
1064,0671728571,Wildest Hearts,Jayne Ann Krentz,1993,Pocket
1065,0671034006,Heartbreaker,Julie Garwood,2001,Pocket
1066,0425116840,The Cardinal of the Kremlin (Jack Ryan Novels),Tom Clancy,1989,Berkley Publishing Group
1067,0425191184,Red Rabbit,Tom Clancy,2003,Berkley Publishing Group
1068,8495618605,El Codigo Da Vinci / The Da Vinci Code,Dan Brown,2003,Ediciones Urano
1069,0836218221,The Authoritative Calvin and Hobbes (Calvin and Hobbes),Bill Watterson,1990,Andrews McMeel Publishing
1070,0590251597,"Mary Anne Saves the Day (Baby-Sitters Club, 4)",Ann M. Martin,1995,Scholastic
1071,0452278902,The Green Mile: The Complete Serial Novel,Stephen King,1997,Plume Books
1072,074343627X,Dreamcatcher,Stephen King,2001,Pocket
1073,067102423X,Bag of Bones,Stephen King,1999,Pocket
1074,0345334531,Feast of All Saints,Anne Rice,1986,Ballantine Books
1075,0440237262,The Program,Stephen White,2002,Dell Publishing Company
1076,0486264785,The Importance of Being Earnest (Dover Thrift Editions),Oscar Wilde,1990,Dover Publications
1077,0156711427,A Passage to India,E.M. Forster,1965,Harvest Books
1078,0345390458,Havana Bay,Martin Cruz Smith,2001,Ballantine Books
1079,0425090787,The Fourth Deadly Sin,Lawrence Sanders,2001,Berkley Publishing Group
1080,0553268880,The Prince of Tides,Pat Conroy,1987,Bantam Books
1081,0345391810,The Restaurant at the End of the Universe (Hitchhiker's Trilogy (Paperback)),Douglas Adams,1995,Ballantine Books
1082,0440216540,Before and After,Rosellen Brown,1993,Dell
1083,0140431357,Tess of the D'Urbervilles (Penguin Classics),Thomas Hardy,1978,Penguin Books
1084,0446611867,A Bend in the Road,Nicholas Sparks,2002,Warner Books
1085,0385336179,Shopaholic Ties the Knot,Sophie Kinsella,2003,Delta
1086,060980619X,God Save the Sweet Potato Queens,JILL CONNER BROWNE,2001,Three Rivers Press
1087,0373483880,The Macgregors: Serena - Caine (The Macgregors),Nora Roberts,1998,Silhouette
1088,0061042005,Suddenly,Barbara Delinsky,1994,HarperTorch
1089,0553582755,One Door Away from Heaven,Dean R. Koontz,2002,Bantam Books
1090,0452268060,How the Garcia Girls Lost Their Accents (Plume Contemporary Fiction),Julia Alvarez,1992,Plume Books
1091,0439099404,Adventures of Tom Sawyer,Mark Twain,1999,Scholastic
1092,0671759213,She's Come Undone,Wally Lamb,1993,Pocket Books
1093,044651652X,The Bridges of Madison County,Robert James Waller,1992,Warner Books
1094,0312050631,Confessions of a Failed Southern Lady,Florence King,1990,St. Martin's Press
1095,0446364282,Love's Encore,Sandra Brown,1997,Warner Books
1096,0142002267,"Word Freak: Heartbreak, Triumph, Genius, and Obsession in the World of Competitive Scrabble Players",Stefan Fatsis,2002,Penguin Books
1097,0380720132,The Mystery of the Cupboard (Indian in the Cupboard),Lynne Reid Banks,1999,HarperTrophy
1098,0842329277,"Assassins: Assignment: Jerusalem, Target: Antichrist (Left Behind No. 6)",Tim Lahaye,2000,Tyndale House Publishers
1099,0440439884,Island of the Blue Dolphins,SCOTT O'DELL,1971,Random House Children's Books
1100,059030271X,Charlotte's Web,E. B. White,1974,Scholastic Paperbacks (T)
1101,0345339738,"The Return of the King (The Lord of the Rings, Part 3)",J.R.R. TOLKIEN,1986,Del Rey
1102,0886774268,"Magic's Price (The Last Herald-Mage Series, Book 3)",Mercedes Lackey,1994,Daw Books
1103,0886773520,"Magic's Pawn (The Last Herald-Mage Series, Book 1)",Mercedes Lackey,1994,Daw Books
1104,0886774012,"Magic's Promise (The Last Herald-Mage Series, Book 2)",Mercedes Lackey,1994,Daw Books
1105,1573225517,High Fidelity,Nick Hornby,1996,Riverhead Books
1106,1550548913,How to Be a Canadian: Even If You Already are One,Will Ferguson,2003,Douglas & McIntyre
1107,0380973650,American Gods: A Novel,Neil Gaiman,2001,William Morrow
1108,0316346624,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,2002,Back Bay Books
1109,0802130208,A Confederacy of Dunces (Evergreen Book),John Kennedy Toole,1987,Grove Press
1110,0842373195,"Let's Roll: Ordinary People, Extraordinary Courage",Lisa Beamer,2002,Tyndale House Publishers
1111,0156628708,Mrs Dalloway,Virginia Woolf,1990,Harvest Books
1112,0440208459,Burn Marks (V.I. Warshawski Novels (Paperback)),Sara Paretsky,1991,Dell
1113,0449208672,The Cater Street Hangman,Anne Perry,1990,Fawcett Books
1114,0380725835,Endangered Species (Anna Pigeon Mysteries (Paperback)),Nevada Barr,1998,Avon
1115,0060199652,Prodigal Summer,Barbara Kingsolver,2000,HarperCollins
1116,034541389X,Flesh and Blood,Jonathan Kellerman,2002,Ballantine Books
1117,0316284955,White Oleander : A Novel (Oprah's Book Club),Janet Fitch,2000,Back Bay Books
1118,0345412214,The Last Don,MARIO PUZO,1997,Ballantine Books
1119,0451147367,"The Bachman Books: Rage, the Long Walk, Roadwork, the Running Man",Stephen King,1991,New Amer Library
1120,0375501371,A Widow for One Year : A Novel,JOHN IRVING,1998,Random House
1121,0312283709,Running with Scissors,Augusten Burroughs,2002,St. Martin's Press
1122,0060987529,Confessions of an Ugly Stepsister : A Novel,Gregory Maguire,2000,Regan Books
1123,0312951426,The Ice House,Minette Walters,1994,St. Martin's Press
1124,0312953615,The Sculptress (Sculptress),Minette Walters,1996,St. Martin's Press
1125,0671567829,The Bookman's Wake (Cliff Janeway Novels (Paperback)),John Dunning,1996,Pocket Star
1126,0375703764,House of Leaves,Mark Z. Danielewski,2000,Pantheon Books
1127,0553277472,Zen and the Art of Motorcycle Maintenance: An Inquiry into Values,ROBERT PIRSIG,1984,Bantam
1128,068487217X,Angelas Ashes: A Memoir,Frank McCourt,1999,Scribner
1129,1573228281,A Gesture Life,Chang-Rae Lee,2000,Riverhead Books
1130,0446608262,The Lion's Game,Nelson DeMille,2000,Warner Books
1131,0440214432,Pronto,Elmore Leonard,1995,Dell
1132,0380804557,Stardust,Neil Gaiman,2003,Avon
1133,0525946233,The Darwin Awards II: Unnatural Selection,Wendy Northcutt,2001,Dutton Books
1134,0553560247,Dying for Chocolate (Culinary Mysteries (Paperback)),DIANE MOTT DAVIDSON,1993,Bantam
1135,1593080255,The Picture of Dorian Gray,Oscar Wilde,2003,Barnes & Noble Books-Imports
1136,0064408639,"The Austere Academy (A Series of Unfortunate Events, Book 5)",Lemony Snicket,2000,HarperCollins
1137,0553295772,Extreme Measures,Michael Palmer,1992,Bantam Books
1138,0812575717,Ender's Shadow,Orson Scott Card,2000,Tor Books
1139,0671874349,LIFE AFTER GOD : LIFE AFTER GOD,Douglas Coupland,1995,Washington Square Press
1140,0743439775,Flight,Jan Burke,2002,Pocket
1141,0449219410,Skin Tight,Carl Hiaasen,1990,Fawcett Books
1142,0446609781,Beneath the Skin,Nicci French,2001,Warner Books
1143,051512608X,The Reef,Nora Roberts,1999,Jove Books
1144,0451124383,Man From St Petersburg,Ken Follett,1983,Penguin Putnam~mass
1145,0312978332,Name Dropping : What If Two Very Different Women Had The Same Exact Name?,Jane Heller,2001,St. Martin's Press
1146,0451408888,The Trials of Tiffany Trott,Isabel Wolff,1999,Onyx Books
1147,0671524968,LUCKY,Judy Collins,1986,Pocket
1148,0060008776,Pagan Babies,Elmore Leonard,2002,HarperTorch
1149,0553574671,Prime Cut,Diane Mott Davidson,2000,Bantam Books
1150,0312956126,The Scold's Bridle,Minette Walters,1995,St. Martin's Press
1151,0786869216,The Pleasure of My Company: A Novel,Steve Martin,2003,Hyperion
1152,0943233437,Random Acts of Kindness,Conari Press,1993,Conari Press
1153,0375727345,House of Sand and Fog,Andre Dubus III,2000,Vintage Books
1154,0446608890,Saving Faith,David Baldacci,2000,Warner Vision
1155,0425188787,Hunting Season (Anna Pigeon Novels (Paperback)),Nevada Barr,2003,Berkley Publishing Group
1156,0345382323,The PMS Outlaws : An Elizabeth MacPherson Novel,Sharyn McCrumb,2001,Bantam Books
1157,0312983298,Full Speed (Janet Evanovich's Full Series),Janet Evanovich,2003,St. Martin's Paperbacks
1158,0743437640,The Mulberry Tree,Jude Deveraux,2003,Pocket
1159,1551668912,Thursday'S At Eight,Debbie Macomber,2002,Mira
1160,0380017601,Love Story,Erich Segal,2002,HarperTorch
1161,042515601X,Acts of War (Tom Clancy's Op Center (Paperback)),Tom Clancy,1997,Berkley Publishing Group
1162,0140293442,Fever Pitch,Nick Hornby,2000,Penguin Books Ltd
1163,0920668372,Love You Forever,Robert N. Munsch,1986,Firefly Books Ltd
1164,0375703861,White Teeth: A Novel,Zadie Smith,2001,Vintage Books USA
1165,0156011042,East of the Mountains (Vintage Contemporaries (Paperback)),David Guterson,2000,Harvest Books
1166,0060391448,Wicked : The Life and Times of the Wicked Witch of the West,Gregory Maguire,1995,HarperCollins
1167,0451099648,Firestarter (Signet Book),Stephen King,1981,New Amer Library
1168,0671776975,A RIVER RUNS THROUGH IT AND OTHER STORIES : AND OTHER STORIES,Norman Maclean,1992,Pocket
1169,0440967694,The Outsiders,S. E. Hinton,1993,Learning Curve
1170,0425152251,Sophie's World: A Novel About the History of Philosophy,Jostein Gaarder,1996,Berkley Publishing Group
1171,0312924585,Silence of the Lambs,Thomas Harris,1991,St. Martin's Press
1172,0385479565,The Hot Zone,Richard Preston,1995,Anchor
1173,0140132708,Midnight's Children,Salman Rushdie,1995,Penguin Books
1174,0312274920,Round Ireland With a Fridge,Tony Hawks,2001,St. Martin's Press
1175,0380791978,The Family Tree,Sheri S. Tepper,1998,Eos
1176,0345409671,"Memnoch the Devil (Vampire Chronicles, No 5)",Anne Rice,1997,Ballantine Books
1177,0553380958,Snow Crash (Bantam Spectra Book),NEAL STEPHENSON,2000,Bantam
1178,0312171838,Bachelor Brothers' Bed & Breakfast,Bill Richardson,1997,St. Martin's Griffin
1179,0425162443,The Rapture of Canaan,Sheri Reynolds,1997,Berkley Publishing Group
1180,0373711646,"Those Christmas Angels (Harlequin Superromance, 1164)",Debbie Macomber,2003,Harlequin
1181,0345423291,What We Keep : A Novel (Ballantine Reader's Circle),Elizabeth Berg,1999,Ballantine Books
1182,0515132020,Heaven and Earth (Three Sisters Island Trilogy),Nora Roberts,2003,Jove Books
1183,0515131229,Dance upon the Air (Three Sisters Island Trilogy),Nora Roberts,2003,Jove Books
1184,0446679364,The Future Homemakers of America,Laurie Graham,2002,Warner Books
1185,1570613818,"Book Lust: Recommended Reading for Every Mood, Moment, and Reason",Nancy Pearl,2003,Sasquatch Books
1186,0312199430,One Thousand White Women : The Journals of May Dodd: A Novel,Jim Fergus,1999,St. Martin's Griffin
1187,048627263X,Flatland: A Romance of Many Dimensions (Dover Thrift Editions),Edwin A. Abbott,1992,Dover Publications
1188,0330330373,The Sculptress,Minette Walters,1995,Macmillan Pub Ltd
1189,0571135390,Unbearable Lightness of Being,Milan Kundera,1994,Faber Faber Inc
1190,0451183746,Road to Wellville,T. Coraghessan Boyle,1994,New Amer Library (Mm)
1191,038079487X,What Looks Like Crazy On An Ordinary Day,Pearl Cleage,1998,Perennial
1192,0684872153,Angela's Ashes (MMP) : A Memoir,Frank McCourt,1999,Scribner
1193,0060926317,Mutant Message Down Under,Marlo Morgan,1995,Perennial
1194,0312421273,The Corrections: A Novel,Jonathan Franzen,2002,Picador USA
1195,0380811081,Again The Magic,Lisa Kleypas,2004,Avon
1196,0440241162,Nerd in Shining Armor,Vicki Lewis Thompson,2003,Dell Publishing Company
1197,0786866586,Shopgirl : A Novella,Steve Martin,2000,Hyperion Press
1198,3492045170,Stupid White Men. Eine Abrechnung mit dem Amerika unter George W. Bush,Michael Moore,2003,Piper
1199,0679722645,The Maltese Falcon (Vintage Crime/Black Lizard),DASHIELL HAMMETT,1989,Vintage
1200,0156007754,Blindness (Harvest Book),Jose Saramago,1999,Harvest Books
1201,031205436X,Generation X: Tales for an Accelerated Culture,Douglas Coupland,1992,St. Martin's Press
1202,1573226521,The Beach,Alex Garland,1998,Riverhead Books
1203,0515119784,Range of Motion,Elizabeth Berg,1996,Jove Books
1204,0811825558,The Worst-Case Scenario Survival Handbook,Joshua Piven,1999,Chronicle Books
1205,0064407675,"The Reptile Room (A Series of Unfortunate Events, Book 2)",Lemony Snicket,1999,HarperCollins
1206,0767902890,The Things They Carried,TIM O'BRIEN,1998,Broadway
1207,0380977788,Coraline,Neil Gaiman,2002,HarperCollins
1208,0441304834,Guilty Pleasures (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,1995,Ace Books
1209,8408043641,La Sombra Del Viento/The Shadow Of The Wind,Carlos Ruiz Zafon,2003,Planeta Pub Corp
1210,0553571818,Long After Midnight,IRIS JOHANSEN,1997,Bantam
1211,0441790348,Stranger in a Strange Land (Remembering Tomorrow),Robert A. Heinlein,1995,ACE Charter
1212,0553573403,"A Game of Thrones (A Song of Ice and Fire, Book 1)",George R.R. Martin,1997,Spectra Books
1213,0553579908,"A Clash of Kings (A Song of Fire and Ice, Book 2)",George R. R. Martin,2000,Spectra Books
1214,0553280147,Till We Meet Again,Judith Krantz,1989,Bantam Books
1215,0345391055,Disclosure,Michael Crichton,1994,Ballantine Books
1216,0312979479,And Then There Were None : A Novel,Agatha Christie,2001,St. Martin's Paperbacks
1217,0375760911,The Idiot Girls' Action Adventure Club,Laurie Notaro,2002,Villard Books
1218,068480087X,POSTCARDS,Annie Proulx,1994,Scribner
1219,0743407067,The First Time,Joy Fielding,2001,Pocket Star
1220,0515131083,Plantation: A Lowcountry Tale,Dorothea Benton Frank,2001,Jove Books
1221,0743407083,Grand Avenue,Joy Fielding,2002,Pocket Star
1222,0446533041,Good Grief : A Novel,Lolly Winston,2004,Warner Books
1223,0743483014,Irish Girls About Town : An Anthology of Short Stories,Maeve Binchy,2004,Pocket
1224,0380005239,Go Ask Alice (Avon/Flare Book),James Jennings,1991,Avon Books
1225,0399142789,Conversations with God : An Uncommon Dialogue (Book 1),Neale Donald Walsch,1996,Putnam Publishing Group
1226,0375406530,Waiting,Ha Jin,1999,Pantheon Books
1227,006000438X,The Death of Vishnu: A Novel,Manil Suri,2002,Perennial
1228,0375412557,Death in Holy Orders (Adam Dalgliesh Mysteries (Hardcover)),P.D. JAMES,2001,Knopf
1229,0374129983,The Corrections,Jonathan Franzen,2001,Farrar Straus & Giroux
1230,0394561619,Love in the Time of Cholera,GABRIEL GARCIA MARQUEZ,1988,Knopf
1231,0385318782,Talk Before Sleep,Elizabeth Berg,1997,Dell
1232,1931561648,The Time Traveler's Wife (Today Show Book Club #15),Audrey Niffenegger,2003,MacAdam/Cage Publishing
1233,0060517794,Little Altars Everywhere,Rebecca Wells,2003,HarperTorch
1234,0553296124,"Heir to the Empire (Star Wars: The Thrawn Trilogy, Vol. 1)",Timothy Zahn,1998,Bantam
1235,0345413350,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,1997,Del Rey
1236,0380701340,Creed for the Third Millennium,Colleen McCullough,1986,Avon
1237,0451146425,Lie Down With Lions,Ken Follett,1986,New Amer Library (Mm)
1238,0380817446,The Legend of Bagger Vance,Steven Pressfield,2000,HarperTorch
1239,0345300203,The Outside Man,Richard North Patterson,1995,Ballantine Books
1240,0553579835,The Matarese Countdown,Robert Ludlum,1998,Bantam Books
1241,1576737330,The Prayer of Jabez: Breaking Through to the Blessed Life,Bruce Wilkinson,2000,Multnomah
1242,0590371258,Out of the Dust (Apple Signature Edition),Karen Hesse,1999,Scholastic
1243,0151446474,The Name of the Rose,Umberto Eco,1983,Harcourt
1244,0316601950,The Pilot's Wife : A Novel,Anita Shreve,1999,Back Bay Books
1245,0445406518,Crocodile on the Sandbank,Elizabeth Peters,1988,Warner Books
1246,0061006629,Fatherland,Robert Harris,1995,HarperTorch
1247,0345384687,The Guns of the South: A Novel of the Civil War,Harry Turtledove,1993,Del Rey Books
1248,0345353749,A Town Like Alice,Nevil Shute,1991,Ballantine Books
1249,0345313151,Bearing an Hourglass (Incarnations of Immortality (Paperback)),Piers Anthony,1991,Del Rey Books
1250,0345314255,Sword of Shannara,Terry Brooks,1995,Del Rey Books
1251,0061031429,The Vendetta Defense,Lisa Scottoline,2002,HarperTorch
1252,0060977337,Downsize This! Random Threats from an Unarmed American,Michael Moore,1997,Perennial
1253,0553582925,Tick Tock,Dean R. Koontz,2000,Bantam Books
1254,0553572423,The Fist of God,Frederick Forsyth,1995,Bantam Books
1255,0525941673,Cavedweller,Dorothy Allison,1998,Dutton Books
1256,014027944X,Armadillo,William Boyd,1994,Penguin Putnam~trade
1257,0452283930,Gossip Hound,Wendy Holden,2003,Plume Books
1258,1573227331,About a Boy,Nick Hornby,1999,Riverhead Books
1259,080411918X,A Patchwork Planet,ANNE TYLER,2001,Ballantine Books
1260,0316812471,Revolution from Within : A Book of Self-Esteem,Gloria Steinem,1993,"Little, Brown"
1261,1551668653,Getting Rid Of Bradley,Jennifer Crusie,2001,Mira
1262,038079960X,The Mermaids Singing,Lisa Carey,1999,Avon
1263,0440237300,Three Weeks in Paris,BARBARA TAYLOR BRADFORD,2002,Dell
1264,0066214122,Prey: A Novel,Michael Crichton,2002,HarperCollins
1265,0836221192,Dilbert Fugitive From The Cubicle Police,Scott Adams,1996,Andrews McMeel Publishing
1266,0446604275,Primary Colors: A Novel of Politics,Anonymous,1996,Warner Books
1267,0451188470,The Love Letter,Cathleen Schine,1996,Signet Book
1268,0375502238,Blessings,ANNA QUINDLEN,2002,Random House
1269,0440202043,Shell Seekers,Rosamunde Pilcher,1996,Dell
1270,0312975228,Boy in the Water,Stephen Dobyns,2000,St. Martin's Paperbacks
1271,0590452037,Maniac Magee,Jerry Spinelli,2002,Scholastic Inc
1272,0451183665,A Case of Need,Michael Crichton,1994,Signet Book
1273,0399150897,Blow Fly: A Scarpetta Novel,Patricia Cornwell,2003,Putnam Publishing Group
1274,0786890169,Black Water,T. Jefferson Parker,2003,Hyperion
1275,074322535X,Gap Creek: The Story of a Marriage,Robert Morgan,2001,Touchstone
1276,0312264372,"Robert Ludlum's the Hades Factor (Ludlum, Robert, Covert-One Novels.)",Robert Ludlum,2000,St. Martin's Press
1277,0373484887,Hidden Star (The Star Series),Nora Roberts,2001,Silhouette
1278,0099521016,Midnight In the Garden of Good and Evil,John Berendt,1994,Vintage Books
1279,0451180429,The Quiet Game,Greg Iles,2000,Signet Book
1280,0373250126,Milkrun,Sarah Mlynowski,2001,Harlequin
1281,0373250193,Loose Screws (Red Dress Ink (Paperback)),Karen Templeton,2002,Red Dress Ink
1282,0451410947,Must Love Dogs,Claire Cook,2003,Onyx Books
1283,038550926X,The Devil Wears Prada : A Novel,LAUREN WEISBERGER,2003,Doubleday
1284,0552998001,Blackberry Wine,Joanne Harris,2001,Black Swan
1285,0671004530,On the Street Where You Live,Mary Higgins Clark,2002,Pocket
1286,325722575X,Der Hahn ist tot. Roman.,Ingrid Noll,1993,Diogenes Verlag
1287,3442413338,"Lauf, Jane, lauf. Roman.",Joy Fielding,1992,Goldmann
1288,0440226414,Fortune's Hand,Belva Plain,2000,Dell Publishing Company
1289,0060959037,Prodigal Summer: A Novel,Barbara Kingsolver,2001,Perennial
1290,055327886X,Rubyfruit Jungle,Rita Mae Brown,1983,Bantam Books
1291,0805036377,M Is for Malice (Kinsey Millhone Mysteries (Hardcover)),Sue Grafton,1996,Henry Holt & Company
1292,0688156134,Stalker: A Novel (Peter Decker & Rina Lazarus Novels (Hardcover)),Faye Kellerman,2000,William Morrow & Company
1293,014028009X,Bridget Jones's Diary,Helen Fielding,1999,Penguin Books
1294,0425187063,Death in Paradise,Robert B. Parker,2002,Berkley Publishing Group
1295,031286504X,I Am Legend,Richard Matheson,1997,Orb Books
1296,0451457811,"Storm Front (The Dresden Files, Book 1)",Jim Butcher,2000,Roc
1297,0374525641,The Spirit Catches You and You Fall Down,Anne Fadiman,1998,"Farrar, Straus and Giroux"
